City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,San Patricio,US,2021-01-09 16:34:26,28.017,-97.5169,53.6,66,40,11.5
239,Taoudenni,ML,2021-01-09 16:34:26,22.6783,-3.9836,88.32,19,10,11.01
240,Port Macquarie,AU,2021-01-09 16:34:26,-31.4333,152.9167,64.99,97,62,3.38
241,Sao Joao Da Barra,BR,2021-01-09 16:34:26,-21.6403,-41.0511,89.6,58,75,12.93
242,Sao Felix Do Xingu,BR,2021-01-09 16:34:26,-6.6447,-51.995,93.78,47,92,0.76
243,Narsaq,GL,2021-01-09 16:34:26,60.9167,-46.05,42.8,36,75,23.02
244,Colares,PT,2021-01-09 16:34:26,38.7992,-9.4469,48.99,46,40,19.57
245,Yakeshi,CN,2021-01-09 16:34:26,49.2833,120.7333,-22.23,86,3,3.18
246,Umm Lajj,SA,2021-01-09 16:34:27,25.0213,37.2685,76.19,56,0,0.6
247,Ancud,CL,2021-01-09 16:34:27,-41.8697,-73.8203,59.0,72,75,17.27
248,Antofagasta,CL,2021-01-09 16:31:09,-23.65,-70.4,75.0,64,20,12.66
249,Dezful,IR,2021-01-09 16:34:27,32.3811,48.4058,56.5,38,0,2.01
250,Yulara,AU,2021-01-09 16:34:27,-25.2406,130.9889,82.4,21,6,9.22
251,Auki,SB,2021-01-09 16:34:27,-8.7676,160.7034,78.12,82,93,3.04
252,Rio Grande,BR,2021-01-09 16:34:27,-32.035,-52.0986,86.0,62,20,13.8
253,Asau,RO,2021-01-09 16:34:27,46.4333,26.4,32.0,100,40,4.38
254,Tebingtinggi,ID,2021-01-09 16:34:27,3.3285,99.1625,77.0,100,40,2.3
255,Bonthe,SL,2021-01-09 16:34:27,7.5264,-12.505,83.21,75,69,7.96
256,Luderitz,NA,2021-01-09 16:34:27,-26.6481,15.1594,74.43,49,39,27.85
257,Buala,SB,2021-01-09 16:34:27,-8.145,159.5921,81.21,77,96,5.32
258,Tateyama,JP,2021-01-09 16:34:27,34.9833,139.8667,42.8,49,75,20.71
259,Praia Da Vitoria,PT,2021-01-09 16:34:27,38.7333,-27.0667,60.01,72,20,3.4
260,Saint-Pierre,RE,2021-01-09 16:34:27,-21.3393,55.4781,78.8,83,20,20.71
261,Berea,US,2021-01-09 16:31:40,41.3662,-81.8543,35.6,69,40,8.05
262,Sorrento,IT,2021-01-09 16:34:28,40.626,14.3744,57.2,72,75,9.22
263,Oranjemund,NA,2021-01-09 16:34:28,-28.55,16.4333,65.91,80,8,18.07
264,Basse,DE,2021-01-09 16:34:28,52.5518,9.5069,35.01,93,100,2.3
265,Kutum,SD,2021-01-09 16:34:28,14.2,24.6667,66.42,24,1,11.5
266,Syava,RU,2021-01-09 16:34:28,58.0146,46.3222,8.2,96,82,6.13
267,Azad Shahr,IR,2021-01-09 16:34:28,34.7909,48.5707,32.58,75,0,1.95
268,Caninde De Sao Francisco,BR,2021-01-09 16:34:28,-9.66,-37.7894,103.95,19,29,4.85
269,Muisne,EC,2021-01-09 16:34:28,0.6,-80.0333,78.8,83,75,5.75
270,Pinczow,PL,2021-01-09 16:34:28,50.5205,20.5265,34.0,85,92,5.01
271,Ygatimi,PY,2021-01-09 16:34:28,-24.0833,-55.5,83.5,58,80,6.08
272,Kruisfontein,ZA,2021-01-09 16:34:28,-34.0033,24.7314,71.71,78,0,24.96
273,Almenara,BR,2021-01-09 16:34:28,-16.1836,-40.6944,93.43,43,45,6.11
274,Sestri Levante,IT,2021-01-09 16:34:28,44.2732,9.3968,42.01,42,100,7.0
275,La Ronge,CA,2021-01-09 16:34:29,55.1001,-105.2842,-2.2,84,0,4.72
276,Verkhnetulomskiy,RU,2021-01-09 16:34:29,68.6073,31.7962,-11.2,84,20,4.47
277,Pangkalanbuun,ID,2021-01-09 16:34:29,-2.6833,111.6167,74.8,95,99,2.28
278,Zapolyarnyy,RU,2021-01-09 16:34:29,69.4154,30.8136,5.0,85,0,10.36
279,Cherskiy,RU,2021-01-09 16:34:29,68.75,161.3,-29.52,85,28,2.39
280,Birin,NP,2021-01-09 16:34:29,26.8865,88.0718,49.55,78,100,4.0
281,Klyuchi,RU,2021-01-09 16:34:29,52.2667,79.1667,-1.14,88,100,12.77
282,Yangambi,CD,2021-01-09 16:34:29,0.8102,24.4336,77.27,67,57,1.36
283,Oulu,FI,2021-01-09 16:34:29,65.0124,25.4682,10.99,85,0,6.91
284,Kolyvan,RU,2021-01-09 16:34:29,55.3053,82.7391,-4.0,71,90,13.42
285,Sitka,US,2021-01-09 16:34:29,57.0531,-135.33,42.8,61,90,13.8
286,Zuwarah,LY,2021-01-09 16:30:39,32.9312,12.082,77.61,33,43,13.73
287,Raymondville,US,2021-01-09 16:34:29,26.4815,-97.7831,55.99,82,90,8.05
288,Olinda,BR,2021-01-09 16:34:29,-8.0089,-34.8553,84.2,61,40,8.05
